bangou,setsu,kashi
524,2,"みまえにうちふし　わが悔ゆる
こころのなげきに　こたえませ
主よ、主よ　　　　ききたまえ
くだけし心の　　　さけびをば"
524,3,"きみのいさおしぞ　ただ頼らん
かよわきこの身を　たすけませ
主よ、主よ　　　　ききたまえ
くだけし心の　　　さけびをば"
524,4,"のぞみのもとなる　主のほかに
あめにもつちにも　すくいなし
主よ、主よ　　　　ききたまえ
くだけし心の　　　さけびをば
　　　　　　　　　　　アーメン　"
525,1,"めぐみふかき　主のほか
たれかわれを　なぐさめん
わが主わが神　恵みたまえ
ただ頼りゆく　わが身を"
525,2,"わが主ともに　いまさば
あくまわれを　いかにせん
わが主わが神　恵みたまえ
ただ頼りゆく　わが身を"
525,3,"きよきみむね　おしえて
はたしたまえ　みちかい
わが主わが神　恵みたまえ
ただ頼りゆく　わが身を"
525,4,"とうとき主よ　われをば
きみのものと　したまえ
わが主わが神　恵みたまえ
ただ頼りゆく　わが身を　　　　　　　　　　　　　　　　　　　　　　　
　　　　　　　アーメン"
527,1,"わがよろこび　わがのぞみ
わがいのちの主よ
ひるたたえ　よるうたいて
なお足らぬをおもう"
527,2,"したいまつる かいぬしよ
いずこの牧場に
その群を 主はみちびき
やしないたまえる"
527,3,"シオンの娘　かたれかし
わがいのちの主に
野辺にてか　幕屋にてか
会いまつらざりし"
527,4,"主のみかおのやさしさに
みつかいよろこび
みことばのうるわしさに
あめつちうたえり"
527,5,"ならびもなき 愛の主の
みこえぞうれしき
わがのぞみ 　わがいのちは
とわに主にあれや
　　　　　　　
　　　　　　　　アーメン"
541,0,"父　み子　みたまの
おおみかみに
ときわにたえせず
みさかえあれ
　　　　　　
　　　　　アーメン"
542,0,"世をこぞりて
ほめたたえよ
みさかえつきせぬ
あまつかみを
　　　　　　　　　　　　アーメン"
25,1,"みかみのあいをば　うとうわれらの
むねはひらきたり　花のごとくに
みかおのひかりに　まよいの霧も
うたがいの雲も　　消えてあとなし　"
25,2,"みつかい聖徒ら　　うたえみいつを
月・星・太陽　　　たたえよ神を
雪ふるたかねも　　花咲く谷も
はやしも野原も　　砂漠も海も　　"
25,3,"みかみは罪ある　　　ものをも愛し
御子なるイエスをば　つかわしませり
ゆるしのみめぐみ　　きよむるちから
ふでにもこえにも　　のべつくしえず"
25,4,"みかみはわれらの　 ちちおやなれば
御子なるイエスをば あにうえとよばん
よびとよしたしみ　 互いに助け
みむねのなる日を　 しのびまてかし
　　　　　　　　　　
　　　　　　　　　　　（アーメン）"
28,1,"わかくさのまきばより
はなさくもりより
うるわしきつくりぬし
われうたいまつらん"
28,2,"そらにてるひかりより
夜ぞらのつきより
てりわたるすくいぬし
われたたえまつらん"
28,3,"わがうれい主はかえて
うたとしたまいぬ
世をこぞり主に帰せよ
すべてのさかえを　（アーメン）"
29,1,"たたえまつれ　おうにいます　主を
にくとれいの　やまいいやす　主を
ちかづけ　　　きみがそばへと
うたをうたいつつ"
29,2,"たたえまつれ　せかい統(す)ぶる　主を
つばさのべて　たみをまもる　主を
いのりに　　　みみをかたぶけ
こたえたもう主を"
29,3,"たたえまつれ　なすわざをしゅくし
いとよきもの　つねにみたす　主を
あらたに　　　おもいみよ主の
ふかきみめぐみを"
29,4,"たたえまつれ　わがうちのものよ
たたえまつれ　いけるものよ　主を
うれしき　　　うたのこえにて
みざのゆるぐまで
　　　　　　　　　　　(アーメン）"
33,1,"ああ　ことばのかぎり　
うたわまほし
主イェスのさかえと　　
あいとめぐみ"
33,2,"み名のかしこさを　
つたえまほし
よものたみくさに　
よものしまに"
33,3,"うれいもおそれも　
きえさるなり
いのちをあとうる　
きよきみ名に"
33,4,"いかなるけがれも　
きよめつくさん
ちしおのちからの　
あるかぎりは
　　　（アーメン）"
38,1,"ひかりかがやく　よろこびの日
こころのいたで　いやさるる日
この日とうとき　みまえにいで
こころのかぎり　みなをたたえん"
38,2,"ものみなみてに　つくられし日
きみがよみより　もどられし日
みたまのかみを　たまわりし日
この日にまさる　きよき日なし"
38,3,"こころのうえを　みたさるる日
よびいだされて　つどいゆく日
この日まことの　ひかりは照り
この日いのちの　いずみはわかん"
38,4,"この日あらたに　めぐみをうけ
みちゆくときも　うたいつづけん
ちちなるかみに　きよきみこに
みたまのかみに　さかえあれと

　　　　　　　　（アーメン）"
40,1,"せいなるかな　ぜんのうのかみ
われらあさまだき　ほめまつる
みつにまして　ひとりのかみ
あいにみつる　つよき主を"
40,2,"せいなるかな　　せいとたちも
みつかいたちも　こうべをたる
むかしいまし　いまもいまし
またとわに　ますかみに"
40,3,"せいなるかな　　つみある目は
ながみさかえを　みまつらねど
ちからとあいと　きよきことの
まどかさ　たぐいあらじ"
40,4,"せいなるかな　　ぜんのうのかみ
つくられしものは　ほめたとう
みつにまして　ひとりのかみ
あいにみつる　つよき主を
　　　　　　　　(アーメン)"
56,1,"主なるかみを　たたえまつらん
かれこそ
めぐみにとむ　ちちにませや
おさめたまえ　われらを"
56,2,"かみにませど　ひととなりし
主イエスよ
きよむるれい　くだしていま
めぐみたまえ　ながたみ"
56,3,"主のちかいの　なぐさめぬし
今こそ
きたりみちて　ひとりびとり
とらえたまえ　なが手に"
56,4,"さんみいったいなる　まことのかみ
われらは
あがめまつらん　こころこめて
つかえまつらん　あいもて
　　　　　　　　　　　　
　　　　　　　　　　　（アーメン）"
70,1,"たみみなよろこべ　主はきたりませり
こころをー　　　　そなえてー　
いざむかえよ　　　いざむかえよ
いざーいざーむかえよ"
70,2,"ちにくだりませり　すくいぬしは
のやまもー　　　　ながれもー
こえあぐべし　　　こえーあぐべし
こえーこえーあぐべし"
70,3,"つみののろいをば　ときたまえば
うれいもー　　　　なやみもー
みなきえうせん　　みなきえうせん
みなーみなーきえうせん"
70,4,"主は世を統べたもう　みめぐみもて
主のあいー　　　　　主の義をー
ほめたたえよ　　　　ほめたたえよ
ほめーほめーたたえよ

　　　　　　　　　　　　　　　　　　　（アーメン）"
71,1,"きけやうたごえー　そらにひびくを
みかみのみこはー　いましあもれり
もろびとたちてー　ともによろこべー　
かみはよびとと　　やわらぎませば
「さかえあれよ」と　みつかいうとう"
71,2,"みこはうえなきー　くらいをすてて
ひくきしずやをー　やどとしませり
よろずのたみのー　まちわびし主のー
われらのなかに　　すませたまえば
「さかえあれよ」と　みつかいうとう"
71,3,"うたえ義の日をー　　へいわのきみを
うけよひかりとー　　いのちを主より
なやめるたみをー　　うまれかわらせ
とわのいのちを　　　あたえたまえば
「さかえあれよ」と　みつかいうとう"
73,1,"ふけゆくー野はらの　　しじまやーぶりー
みつかいーたえなる　　うたうたーいぬー
「あめにはーみさかえ　かみーにあーれやー
へいわはー地にすむ　　ひとにひとにあーれ」と"
